id,name,parent_id/id,property_account_expense_categ/id,property_account_income_categ/id
cwa_module.cbl_1710510,BUITENLANDS/HOUDBAAR  BROOD,cwa_module.cbl_17105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1710515,HALFFABRIKATEN,cwa_module.cbl_17105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1711005,BESCHUIT,cwa_module.cbl_17110,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1711010,GEPOFTE RIJSTWAFELS,cwa_module.cbl_17110,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1711015,KNÃ€CKEBRÃ¶D,cwa_module.cbl_17110,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1711020,GEROOSTERD BROOD / CRACKERS GROOT,cwa_module.cbl_17110,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1711025,ONTBIJTKOEK,cwa_module.cbl_17110,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1720505,WIT BROOD,cwa_module.cbl_17205,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_1720510,BRUIN BROOD,cwa_module.cbl_17205,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_1720515,VOLKORENBROOD,cwa_module.cbl_17205,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_1720520,MEERGRANENBROOD,cwa_module.cbl_17205,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_1720530,GEVULD BROOD,cwa_module.cbl_17205,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_1721005,KLEIN WITBROOD,cwa_module.cbl_17210,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_1721010,KLEIN BRUINBROOD,cwa_module.cbl_17210,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_1721015,KLEIN BROOD VOLKOREN EN MEERGRANEN,cwa_module.cbl_17210,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_1721020,KLEIN BROOD GEVULD,cwa_module.cbl_17210,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_1721315,HALFFABRIKAAT VERS GEKOELD ,cwa_module.cbl_17213,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1721505,HARTIGE SNACKS,cwa_module.cbl_17215,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_1721510,ZOETE SNACKS,cwa_module.cbl_17215,"voedselcoop_7302","voedselcoop_8002"
